Split,GroundTruth_CD,Predicted_CD,Error
Validation,40.229373931884766,17.630512237548828,22.598861694335938
Training,37.85203170776367,17.542583465576172,20.3094482421875
Training,35.816078186035156,17.60194969177246,18.214128494262695
Training,35.65252685546875,11.46104907989502,24.19147777557373
Training,33.824764251708984,17.81378936767578,16.010974884033203
Training,32.99070739746094,17.66586685180664,15.324840545654297
Training,31.621610641479492,17.523653030395508,14.097957611083984
Training,31.51163101196289,17.685646057128906,13.825984954833984
Training,31.395681381225586,11.922816276550293,19.472865104675293
Training,30.84958839416504,17.528099060058594,13.321489334106445
Training,30.816152572631836,17.606725692749023,13.209426879882812
Training,30.790008544921875,11.488005638122559,19.302002906799316
Training,29.106477737426758,11.41971492767334,17.686762809753418
Training,28.97651481628418,11.301033973693848,17.675480842590332
Training,28.602752685546875,11.34691047668457,17.255842208862305
Training,28.502506256103516,17.61519432067871,10.887311935424805
Training,28.379396438598633,11.289671897888184,17.08972454071045
Training,28.323244094848633,11.486249923706055,16.836994171142578
Training,28.01605987548828,11.10901165008545,16.907048225402832
Training,27.977163314819336,17.993980407714844,9.983182907104492
Validation,27.75267219543457,11.290854454040527,16.461817741394043
Validation,27.745473861694336,11.485836029052734,16.2596378326416
Training,27.614612579345703,11.41027545928955,16.204337120056152
Training,27.485937118530273,11.510342597961426,15.975594520568848
Validation,27.247577667236328,11.392500877380371,15.855076789855957
Training,26.978565216064453,17.903564453125,9.075000762939453
Training,26.783891677856445,11.298465728759766,15.48542594909668
Validation,26.736419677734375,10.967826843261719,15.768592834472656
Training,26.717384338378906,11.277806282043457,15.43957805633545
Training,26.12554931640625,11.181692123413086,14.943857192993164
Training,26.102928161621094,11.507346153259277,14.595582008361816
Training,26.081491470336914,11.4963960647583,14.585095405578613
Training,26.054529190063477,11.395978927612305,14.658550262451172
Training,25.988861083984375,12.73136043548584,13.257500648498535
Training,25.934768676757812,11.633635520935059,14.301133155822754
Training,25.844181060791016,17.824878692626953,8.019302368164062
Training,25.841272354125977,11.586610794067383,14.254661560058594
Training,25.806047439575195,11.592896461486816,14.213150978088379
Validation,25.637004852294922,11.27069091796875,14.366313934326172
Training,25.594558715820312,11.019316673278809,14.575242042541504
Training,25.554401397705078,12.641222953796387,12.913178443908691
Validation,25.474943161010742,11.392897605895996,14.082045555114746
Training,25.374391555786133,17.551172256469727,7.823219299316406
Training,25.36918067932129,11.113102912902832,14.256077766418457
Training,25.32406997680664,11.39330005645752,13.930769920349121
Training,25.24358558654785,11.033563613891602,14.21002197265625
Training,25.094844818115234,11.978184700012207,13.116660118103027
Training,25.093475341796875,11.550613403320312,13.542861938476562
Training,25.092103958129883,16.9283504486084,8.163753509521484
Validation,25.090635299682617,11.271491050720215,13.819144248962402
Training,24.953105926513672,12.446951866149902,12.50615406036377
Training,24.92413902282715,11.063407897949219,13.86073112487793
Training,24.863784790039062,12.494183540344238,12.369601249694824
Training,24.854860305786133,11.321520805358887,13.533339500427246
Training,24.797061920166016,11.279833793640137,13.517228126525879
Training,24.79335594177246,11.177377700805664,13.615978240966797
Training,24.789762496948242,17.84325408935547,6.946508407592773
Training,24.64275550842285,12.386963844299316,12.255791664123535
Training,24.462562561035156,11.187392234802246,13.27517032623291
Training,24.460710525512695,12.106964111328125,12.35374641418457
Training,24.449981689453125,17.036752700805664,7.413228988647461
Validation,24.4318904876709,11.423470497131348,13.00841999053955
Training,24.426942825317383,11.185215950012207,13.241726875305176
Training,24.42668914794922,12.3145170211792,12.11217212677002
Training,24.352985382080078,11.764840126037598,12.58814525604248
Training,24.2838077545166,12.255510330200195,12.028297424316406
Training,24.27726936340332,11.125457763671875,13.151811599731445
Training,24.2687931060791,17.567949295043945,6.700843811035156
Validation,24.22900390625,12.050765037536621,12.178238868713379
Validation,24.203649520874023,12.171805381774902,12.031844139099121
Training,24.159854888916016,11.098572731018066,13.06128215789795
Validation,24.13254737854004,12.182340621948242,11.950206756591797
Training,24.126855850219727,12.260899543762207,11.86595630645752
Training,24.12578010559082,11.285653114318848,12.840126991271973
Training,24.06944465637207,10.784923553466797,13.284521102905273
Training,24.019277572631836,16.78128433227539,7.237993240356445
Training,24.0172119140625,12.259702682495117,11.757509231567383
Training,23.987546920776367,15.975577354431152,8.011969566345215
Validation,23.97982406616211,11.407167434692383,12.572656631469727
Training,23.915813446044922,16.800735473632812,7.115077972412109
Training,23.88800048828125,11.162814140319824,12.725186347961426
Training,23.883121490478516,16.555742263793945,7.32737922668457
Validation,23.882797241210938,11.200433731079102,12.682363510131836
Training,23.87813377380371,14.604355812072754,9.273777961730957
Training,23.845853805541992,11.34386157989502,12.501992225646973
Validation,23.68577003479004,11.407328605651855,12.278441429138184
Training,23.67995262145996,12.040834426879883,11.639118194580078
Training,23.546279907226562,17.05634307861328,6.489936828613281
Training,23.508317947387695,12.006498336791992,11.501819610595703
Training,23.485885620117188,15.815181732177734,7.670703887939453
Validation,23.464946746826172,11.380043983459473,12.0849027633667
Training,23.454896926879883,17.09803009033203,6.356866836547852
Training,23.449153900146484,12.436137199401855,11.013016700744629
Training,23.426584243774414,8.927916526794434,14.49866771697998
Training,23.383861541748047,16.092838287353516,7.291023254394531
Training,23.330711364746094,11.486159324645996,11.844552040100098
Validation,23.2828311920166,11.30182933807373,11.981001853942871
Training,23.273351669311523,16.869155883789062,6.404195785522461
Training,23.25406265258789,12.197997093200684,11.056065559387207
Training,23.24629020690918,9.525748252868652,13.720541954040527
Training,23.24238395690918,9.569576263427734,13.672807693481445
Validation,23.20915985107422,12.394347190856934,10.814812660217285
Training,23.175212860107422,11.104259490966797,12.070953369140625
Validation,23.167959213256836,11.014461517333984,12.153497695922852
Training,23.128921508789062,11.221261024475098,11.907660484313965
Training,23.11035919189453,16.477367401123047,6.632991790771484
Training,23.085407257080078,11.12961196899414,11.955795288085938
Training,23.024770736694336,11.149643898010254,11.875126838684082
Training,23.019847869873047,11.721327781677246,11.2985200881958
Training,23.016765594482422,12.583462715148926,10.433302879333496
Training,22.995933532714844,15.69260311126709,7.303330421447754
Training,22.982250213623047,11.445538520812988,11.536711692810059
Training,22.978057861328125,11.306380271911621,11.671677589416504
Validation,22.937414169311523,11.993717193603516,10.943696975708008
Training,22.92411231994629,9.141866683959961,13.782245635986328
Training,22.894845962524414,16.362760543823242,6.532085418701172
Training,22.878286361694336,11.891375541687012,10.986910820007324
Training,22.858720779418945,12.03188419342041,10.826836585998535
Training,22.84764862060547,9.187236785888672,13.660411834716797
Training,22.84337043762207,9.996827125549316,12.846543312072754
Training,22.82887840270996,12.002497673034668,10.826380729675293
Training,22.802528381347656,11.318368911743164,11.484159469604492
Validation,22.788198471069336,12.050439834594727,10.73775863647461
Training,22.768234252929688,9.59544849395752,13.172785758972168
Validation,22.75200843811035,11.520286560058594,11.231721878051758
Validation,22.751018524169922,11.1699800491333,11.581038475036621
Training,22.71689224243164,9.753544807434082,12.963347434997559
Training,22.688735961914062,9.084779739379883,13.60395622253418
Training,22.61332130432129,9.69991397857666,12.913407325744629
Training,22.58361053466797,15.734858512878418,6.848752021789551
Training,22.54598617553711,11.493760108947754,11.052226066589355
Validation,22.509483337402344,12.253561019897461,10.255922317504883
Training,22.472965240478516,14.635883331298828,7.8370819091796875
Validation,22.44363784790039,10.824867248535156,11.618770599365234
Training,22.418376922607422,11.142924308776855,11.275452613830566
Validation,22.327051162719727,15.578450202941895,6.748600959777832
Validation,22.326000213623047,10.552882194519043,11.773118019104004
Validation,22.304658889770508,9.09755802154541,13.207100868225098
Training,22.260313034057617,11.988564491271973,10.271748542785645
Training,22.24785041809082,10.999829292297363,11.248021125793457
Training,22.197662353515625,9.110387802124023,13.087274551391602
Training,22.197410583496094,10.216670036315918,11.980740547180176
Training,22.19607925415039,11.369240760803223,10.826838493347168
Training,22.156164169311523,10.163525581359863,11.99263858795166
Validation,22.15581703186035,10.033547401428223,12.122269630432129
Validation,22.127696990966797,12.209067344665527,9.91862964630127
Validation,22.1136531829834,9.527745246887207,12.585907936096191
Validation,22.102306365966797,9.89424991607666,12.208056449890137
Training,22.092605590820312,11.91870403289795,10.173901557922363
Validation,22.08850860595703,9.18631649017334,12.902192115783691
Training,22.08841323852539,17.66025733947754,4.428155899047852
Training,22.055334091186523,11.35558032989502,10.699753761291504
Validation,22.04901885986328,10.973467826843262,11.07555103302002
Training,22.045982360839844,9.096833229064941,12.949149131774902
Validation,22.026391983032227,9.614447593688965,12.411944389343262
Training,22.014619827270508,14.638667106628418,7.37595272064209
Training,21.9646053314209,9.677131652832031,12.287473678588867
Training,21.94412612915039,10.093852043151855,11.850274085998535
Validation,21.943906784057617,12.13343334197998,9.810473442077637
Training,21.932357788085938,16.961912155151367,4.97044563293457
Training,21.930339813232422,10.865433692932129,11.064906120300293
Training,21.928483963012695,10.238043785095215,11.69044017791748
Training,21.910900115966797,9.069506645202637,12.84139347076416
Training,21.91086196899414,9.927584648132324,11.983277320861816
Training,21.897180557250977,9.475531578063965,12.421648979187012
Training,21.87788963317871,14.077021598815918,7.800868034362793
Training,21.876951217651367,9.131457328796387,12.74549388885498
Training,21.85573959350586,12.376367568969727,9.479372024536133
Training,21.8352108001709,8.95549488067627,12.879715919494629
Training,21.804798126220703,9.736833572387695,12.067964553833008
Training,21.800273895263672,11.205706596374512,10.59456729888916
Validation,21.798433303833008,10.012497901916504,11.785935401916504
Training,21.79469108581543,12.6576566696167,9.13703441619873
Validation,21.78485870361328,9.10706615447998,12.6777925491333
Training,21.768728256225586,9.124398231506348,12.644330024719238
Training,21.761003494262695,9.606392860412598,12.154610633850098
Validation,21.747594833374023,8.961718559265137,12.785876274108887
Training,21.746835708618164,11.017922401428223,10.728913307189941
Training,21.740283966064453,9.726659774780273,12.01362419128418
Training,21.73322868347168,9.65866470336914,12.074563980102539
Training,21.725582122802734,9.52169132232666,12.203890800476074
Training,21.67536735534668,9.721022605895996,11.954344749450684
Training,21.634069442749023,9.186929702758789,12.447139739990234
Validation,21.618059158325195,8.642057418823242,12.976001739501953
Training,21.59981346130371,9.045939445495605,12.553874015808105
Training,21.567136764526367,10.140769958496094,11.426366806030273
Training,21.55698585510254,11.329604148864746,10.227381706237793
Training,21.547500610351562,9.21885871887207,12.328641891479492
Validation,21.54635238647461,9.977145195007324,11.569207191467285
Training,21.543724060058594,8.595841407775879,12.947882652282715
Training,21.533401489257812,11.211974143981934,10.321427345275879
Training,21.518402099609375,11.109688758850098,10.408713340759277
Training,21.517501831054688,8.941426277160645,12.576075553894043
Validation,21.505779266357422,11.80087947845459,9.704899787902832
Training,21.502315521240234,11.038743019104004,10.46357250213623
Training,21.500844955444336,14.310725212097168,7.190119743347168
Training,21.491010665893555,8.578972816467285,12.91203784942627
Training,21.49050521850586,10.109260559082031,11.381244659423828
Training,21.482328414916992,11.142435073852539,10.339893341064453
Validation,21.473012924194336,8.214781761169434,13.258231163024902
Training,21.462156295776367,9.221917152404785,12.240239143371582
Training,21.462005615234375,13.92326831817627,7.5387372970581055
Training,21.460277557373047,11.002232551574707,10.45804500579834
Training,21.440471649169922,11.068799018859863,10.371672630310059
Training,21.43248176574707,9.514176368713379,11.918305397033691
Training,21.42854118347168,12.129833221435547,9.298707962036133
Training,21.426044464111328,11.06088638305664,10.365158081054688
Training,21.403104782104492,9.18470287322998,12.218401908874512
Training,21.394121170043945,11.046238899230957,10.347882270812988
Training,21.39222526550293,9.854341506958008,11.537883758544922
Training,21.37631607055664,9.143730163574219,12.232585906982422
Validation,21.3734073638916,12.338828086853027,9.034579277038574
Training,21.36971092224121,11.816008567810059,9.553702354431152
Validation,21.352195739746094,14.55685806274414,6.795337677001953
Training,21.338960647583008,9.109044075012207,12.2299165725708
Training,21.331405639648438,9.220346450805664,12.111059188842773
Training,21.33129119873047,9.248053550720215,12.083237648010254
Training,21.29513168334961,10.856337547302246,10.438794136047363
Training,21.278791427612305,11.287545204162598,9.991246223449707
Training,21.260356903076172,11.245881080627441,10.01447582244873
Training,21.258573532104492,8.928725242614746,12.329848289489746
Training,21.257802963256836,9.087786674499512,12.170016288757324
Training,21.25018310546875,11.229945182800293,10.020237922668457
Training,21.249149322509766,11.75760555267334,9.491543769836426
Validation,21.248401641845703,11.468718528747559,9.779683113098145
Training,21.243406295776367,9.134072303771973,12.109333992004395
Training,21.238868713378906,9.032085418701172,12.206783294677734
Training,21.22831153869629,12.120808601379395,9.107502937316895
Training,21.200984954833984,9.451264381408691,11.749720573425293
Training,21.195537567138672,11.258971214294434,9.936566352844238
Validation,21.173320770263672,9.061917304992676,12.111403465270996
Validation,21.152597427368164,9.056183815002441,12.096413612365723
Training,21.14889144897461,10.095930099487305,11.052961349487305
Training,21.14604949951172,9.809165000915527,11.336884498596191
Validation,21.14065933227539,9.348289489746094,11.792369842529297
Training,21.132219314575195,9.416382789611816,11.715836524963379
Training,21.132068634033203,9.295674324035645,11.836394309997559
Training,21.123249053955078,9.066423416137695,12.056825637817383
Validation,21.110870361328125,10.943238258361816,10.167632102966309
Training,21.0978946685791,11.823573112487793,9.274321556091309
Training,21.09408950805664,12.264674186706543,8.829415321350098
Validation,21.080947875976562,9.648591995239258,11.432355880737305
Training,21.067829132080078,8.488932609558105,12.578896522521973
Validation,21.058443069458008,8.862170219421387,12.196272850036621
Training,21.04195785522461,8.130558967590332,12.911398887634277
Training,21.030147552490234,10.163427352905273,10.866720199584961
Training,21.030059814453125,9.884406089782715,11.14565372467041
Training,21.026975631713867,9.237080574035645,11.789895057678223
Training,21.00736427307129,9.346171379089355,11.661192893981934
Training,20.992555618286133,9.830615043640137,11.161940574645996
Training,20.9777889251709,11.19935417175293,9.778434753417969
Validation,20.9691219329834,9.724288940429688,11.244832992553711
Training,20.964853286743164,8.491602897644043,12.473250389099121
Training,20.946346282958984,8.946629524230957,11.999716758728027
Training,20.941787719726562,9.406476020812988,11.535311698913574
Training,20.938709259033203,8.697855949401855,12.240853309631348
Training,20.924226760864258,11.300285339355469,9.623941421508789
Training,20.924062728881836,11.746989250183105,9.17707347869873
Training,20.921323776245117,9.08198070526123,11.839343070983887
Training,20.91932487487793,9.061365127563477,11.857959747314453
Training,20.913084030151367,11.154902458190918,9.75818157196045
Training,20.900596618652344,11.690410614013672,9.210186004638672
Training,20.896697998046875,11.451983451843262,9.444714546203613
Training,20.895017623901367,10.520506858825684,10.374510765075684
Validation,20.888145446777344,14.293922424316406,6.5942230224609375
Training,20.882354736328125,8.818032264709473,12.064322471618652
Training,20.880138397216797,9.130053520202637,11.75008487701416
Training,20.87508201599121,9.768187522888184,11.106894493103027
Training,20.86444854736328,9.294620513916016,11.569828033447266
Validation,20.859174728393555,9.380620956420898,11.478553771972656
Training,20.85386085510254,9.726181030273438,11.127679824829102
Training,20.852197647094727,8.428168296813965,12.424029350280762
Training,20.8267822265625,9.087140083312988,11.739642143249512
Training,20.815757751464844,9.1073579788208,11.708399772644043
Training,20.81072425842285,9.60770034790039,11.203023910522461
Training,20.807687759399414,8.438347816467285,12.369339942932129
Training,20.805925369262695,15.525035858154297,5.280889511108398
Training,20.80248260498047,9.062369346618652,11.740113258361816
Training,20.78700828552246,9.60140609741211,11.185602188110352
Training,20.750476837158203,9.259115219116211,11.491361618041992
Training,20.737396240234375,11.022150993347168,9.715245246887207
Validation,20.735410690307617,11.085518836975098,9.64989185333252
Training,20.727481842041016,10.982051849365234,9.745429992675781
Validation,20.721878051757812,9.461870193481445,11.260007858276367
Training,20.707042694091797,9.16121768951416,11.545825004577637
Training,20.70663070678711,9.085474967956543,11.621155738830566
Validation,20.703380584716797,9.11143970489502,11.591940879821777
Validation,20.698074340820312,11.755097389221191,8.942976951599121
Validation,20.686426162719727,9.13502025604248,11.551405906677246
Training,20.676069259643555,11.401448249816895,9.27462100982666
Training,20.670955657958984,15.887984275817871,4.782971382141113
Training,20.66946029663086,9.176582336425781,11.492877960205078
Training,20.66358184814453,9.327409744262695,11.336172103881836
Training,20.64452362060547,9.395171165466309,11.24935245513916
Training,20.638839721679688,8.600920677185059,12.037919044494629
Training,20.637462615966797,9.059370994567871,11.578091621398926
Training,20.63336181640625,9.861283302307129,10.772078514099121
