Original_Index,Split,GroundTruth_CD,Predicted_CD,Error
0,Training,13.813591003417969,10.042295455932617,3.7712955474853516
1,Training,6.743989944458008,6.940909385681152,0.19691944122314453
2,Training,6.165958404541016,7.281224727630615,1.1152663230895996
3,Testing,7.655828952789307,8.504591941833496,0.8487629890441895
4,Training,8.853034973144531,9.514348983764648,0.6613140106201172
5,Training,6.909384250640869,6.9420671463012695,0.03268289566040039
6,Testing,6.268255233764648,7.719110012054443,1.450854778289795
7,Validation,7.659841060638428,8.586796760559082,0.9269556999206543
8,Training,18.023672103881836,8.677125930786133,9.346546173095703
9,Training,8.093740463256836,7.33935546875,0.7543849945068359
10,Validation,6.931475639343262,7.554437637329102,0.6229619979858398
11,Training,9.18649959564209,8.363033294677734,0.8234663009643555
12,Testing,9.345682144165039,9.870677947998047,0.5249958038330078
13,Training,7.906044006347656,8.727667808532715,0.8216238021850586
14,Training,6.455492973327637,8.398880958557129,1.9433879852294922
15,Training,8.292963981628418,9.317069053649902,1.0241050720214844
