Original_Index,Split,GroundTruth_CD,Predicted_CD,Error,Error_Class
0,Training,24.4202404,21.14478874,3.27545166,
1,Validation,18.96230888,16.4278717,2.53443718,
2,Training,17.50047874,15.62506104,1.875417709,
3,Training,21.49395561,17.52626991,3.967685699,
4,Validation,10.85813904,9.298294067,1.559844971,
5,Training,8.574903488,8.645737648,0.07083415985,
6,Training,7.556760788,8.000117302,0.443356514,
7,Training,7.170491219,6.496034622,0.6744565964,
8,Validation,8.064584732,7.960221767,0.1043629646,
9,Training,9.183876038,8.418639183,0.7652368546,
10,Training,14.32935524,14.24395847,0.08539676666,
11,Training,17.95427132,14.70791149,3.246359825,
12,Training,7.326545715,6.926483631,0.4000620842,
13,Testing,10.30728436,10.11152363,0.1957607269,1
14,Validation,8.632012367,8.792662621,0.1606502533,
15,Training,12.56340504,10.20500851,2.35839653,
16,Training,7.746511459,9.500899315,1.754387856,
17,Training,8.269664764,8.345837593,0.07617282867,
18,Training,8.546061516,7.103964806,1.44209671,
19,Training,6.559037685,5.752584934,0.8064527512,
20,Testing,6.376768589,8.519779205,2.143010616,0
21,Testing,8.569812775,8.449995995,0.1198167801,0
22,Training,8.457482338,10.24051762,1.783035278,
23,Training,9.612243652,7.818132401,1.794111252,
24,Training,8.036870956,7.86448288,0.1723880768,
25,Training,8.201704025,9.040921211,0.839217186,
26,Training,8.451441765,7.905745983,0.5456957817,
27,Validation,9.868469238,9.826247215,0.04222202301,
28,Training,9.263607979,7.949356079,1.3142519,
29,Training,8.604138374,7.375813484,1.22832489,
30,Training,9.050380707,7.921565533,1.128815174,
31,Training,6.122797012,7.414001465,1.291204453,
32,Validation,6.365520954,9.173168182,2.807647228,
33,Training,9.495261192,6.959637642,2.53562355,
34,Testing,7.419827938,6.572018623,0.8478093147,0
35,Training,5.505767822,7.032800198,1.527032375,
36,Training,6.524848938,7.465531826,0.940682888,
37,Training,7.504167557,8.206780434,0.7026128769,
38,Training,11.93804646,7.134958744,4.803087711,
39,Training,9.574124336,9.968441963,0.394317627,
40,Validation,9.630049706,7.603302002,2.026747704,
41,Training,11.61326981,8.334017754,3.279252052,
42,Training,9.77143383,9.587638855,0.1837949753,
43,Validation,7.67223978,7.787398338,0.1151585579,
44,Training,7.363236904,7.444333076,0.08109617233,
45,Training,12.32915974,8.8126688,3.516490936,
46,Training,8.423575401,5.603332996,2.820242405,
47,Validation,6.296322346,7.891838074,1.595515728,
48,Testing,8.102347374,7.730851173,0.3714962006,0
49,Validation,8.133480072,6.818284035,1.315196037,
50,Testing,9.284511566,9.429474831,0.1449632645,0
51,Training,9.367607117,8.949007988,0.4185991287,
52,Testing,12.92158127,9.640967369,3.280613899,1
53,Validation,10.4125042,8.786564827,1.625939369,
54,Testing,11.91299438,11.73123264,0.1817617416,1
55,Training,9.315424919,8.297969818,1.017455101,
56,Training,7.630328655,5.897031784,1.733296871,
57,Training,9.038003922,9.456825256,0.4188213348,
58,Testing,6.07725811,7.986477852,1.909219742,0
59,Training,6.31276226,7.509440422,1.196678162,
60,Training,7.42398262,9.505946159,2.081963539,
61,Validation,10.43261623,9.754422188,0.678194046,
62,Validation,10.69282913,11.48534203,0.7925128937,
63,Training,10.8462553,10.50991535,0.3363399506,
64,Validation,10.72180271,8.896864891,1.82493782,
65,Training,11.08637714,9.758573532,1.327803612,
66,Training,11.38642216,11.95971203,0.5732898712,
67,Training,8.159845352,8.461063385,0.3012180328,
68,Training,7.360009193,6.384027004,0.9759821892,
69,Training,10.04538441,8.551707268,1.493677139,
70,Training,5.451817513,7.649280548,2.197463036,
71,Testing,7.947618008,9.046105385,1.098487377,0
72,Training,7.823915958,10.94369698,3.119781017,
73,Training,10.92178345,7.477831364,3.443952084,
74,Training,10.30772209,11.78183746,1.474115372,
75,Training,17.79749298,12.4219141,5.37557888,
76,Training,15.24638462,10.85430622,4.3920784,
77,Training,11.7293272,10.02365589,1.70567131,
78,Training,15.56037998,14.13470554,1.425674438,
79,Training,10.50896931,8.729519844,1.779449463,
80,Testing,7.251204014,6.263305664,0.9878983498,0
81,Training,9.424341202,10.21166134,0.787320137,
82,Training,6.155591011,6.01013422,0.1454567909,
83,Training,6.832981586,9.126606941,2.293625355,
84,Training,19.38939857,18.18778801,1.201610565,
85,Training,19.55219269,17.82204819,1.730144501,
86,Training,17.20098114,13.57740879,3.62357235,
87,Testing,16.73713493,15.09744167,1.63969326,2
88,Testing,11.90664577,8.491522789,3.415122986,1
89,Training,8.988336563,8.928105354,0.0602312088,
90,Training,8.208658218,6.20096159,2.007696629,
91,Testing,8.116225243,6.180369377,1.935855865,0
92,Training,9.779221535,8.089590073,1.689631462,
93,Training,10.24724674,7.975165367,2.272081375,
94,Training,15.64106178,14.33938694,1.301674843,
95,Training,20.0559082,13.97871494,6.07719326,
96,Training,9.155608177,8.027106285,1.128501892,
97,Training,10.33446026,9.248515129,1.085945129,
98,Validation,8.455208778,8.658125877,0.202917099,
99,Testing,11.93688107,10.98315334,0.9537277222,1
100,Validation,8.476642609,8.593192101,0.1165494919,
101,Training,8.395175934,8.313866615,0.08130931854,
102,Testing,8.226999283,7.453053474,0.7739458084,0
103,Training,6.940667629,7.418471336,0.4778037071,
104,Training,7.757053852,6.875,0.8820538521,
105,Validation,9.838779449,9.084127426,0.7546520233,
106,Testing,9.051757813,8.911440849,0.1403169632,0
107,Training,7.188527107,7.94641304,0.7578859329,
108,Training,7.185281277,8.292618752,1.107337475,
109,Training,6.850890636,8.831108093,1.980217457,
110,Training,8.015320778,6.910942078,1.1043787,
111,Training,10.94587612,10.77594852,0.169927597,
112,Training,9.871542931,8.536194801,1.335348129,
113,Training,8.367311478,6.862393379,1.504918098,
114,Training,8.80368042,7.212678909,1.591001511,
115,Training,8.333774567,7.159136295,1.174638271,
116,Training,6.846755981,8.387290001,1.540534019,
117,Training,9.364792824,7.896648884,1.46814394,
118,Training,7.752960205,6.395055771,1.357904434,
119,Training,6.118143559,7.279480934,1.161337376,
120,Training,7.169712543,8.239914894,1.070202351,
121,Testing,7.898182392,7.084113121,0.8140692711,0
122,Training,8.35597229,8.224806786,0.1311655045,
123,Training,10.16283798,9.765889168,0.3969488144,
124,Training,8.947005272,7.321096897,1.625908375,
125,Training,9.223949432,8.751842499,0.4721069336,
126,Training,10.74678421,10.28746414,0.4593200684,
127,Training,7.500708103,7.006669998,0.494038105,
128,Validation,8.579416275,5.553999901,3.025416374,
129,Training,10.77355289,7.862451553,2.911101341,
130,Testing,7.903653145,6.229186535,1.67446661,0
131,Training,5.812170982,8.224141121,2.411970139,
132,Training,8.197061539,7.586847305,0.6102142334,
133,Training,9.324233055,7.563118458,1.761114597,
134,Testing,8.827432632,9.226940155,0.3995075226,0
135,Validation,10.39119053,10.54649162,0.1553010941,
136,Training,11.88398838,9.655341148,2.228647232,
137,Training,9.376625061,8.562191963,0.8144330978,
138,Validation,12.48613834,10.36327076,2.122867584,
139,Training,8.154724121,8.686740875,0.5320167542,
140,Training,6.870428085,5.612208843,1.258219242,
141,Training,11.4857502,9.004206657,2.481543541,
142,Training,6.514511585,7.531711578,1.017199993,
143,Training,6.17946434,8.029158592,1.849694252,
144,Training,9.938213348,10.1121645,0.173951149,
145,Training,8.198405266,9.14688015,0.948474884,
146,Training,10.40889072,10.35722637,0.05166435242,
147,Training,10.20457745,11.22839451,1.023817062,
148,Training,11.13949871,9.13864994,2.00084877,
149,Testing,11.31553078,9.266381264,2.049149513,1
150,Training,11.99366951,11.42566013,0.5680093765,
151,Testing,10.09332275,9.068007469,1.025315285,1
152,Training,6.840192795,6.624341488,0.2158513069,
153,Training,12.66221809,8.140272141,4.521945953,
154,Training,6.064757824,6.910459518,0.8457016945,
155,Training,6.719573021,8.961230278,2.241657257,
156,Validation,9.908745766,10.9587183,1.049972534,
157,Training,8.843001366,9.777785301,0.9347839355,
158,Training,15.63731194,10.81876945,4.81854248,
159,Training,10.99862385,11.2747097,0.2760858536,
160,Testing,15.06003666,10.92682743,4.133209229,2
161,Validation,11.80941772,10.20701504,1.602402687,
162,Validation,11.83778191,12.68541336,0.8476314545,
163,Training,8.113248825,9.281561852,1.168313026,
164,Training,7.95574522,6.67990303,1.27584219,
165,Training,14.8132906,9.82234478,4.990945816,
166,Testing,5.915906429,6.773944855,0.8580384254,0
167,Training,7.943696022,8.579302788,0.6356067657,
168,Training,47.15725708,21.23594856,25.92130852,
169,Testing,19.51868629,18.58752251,0.9311637878,3
170,Training,14.71507359,12.35121536,2.363858223,
171,Validation,13.53132057,16.13072586,2.599405289,
172,Training,13.23916817,8.317952156,4.921216011,
173,Training,10.21889782,9.114702225,1.104195595,
174,Testing,7.39250946,6.241859913,1.150649548,0
175,Training,7.807693958,6.702560425,1.105133533,
176,Training,9.717065811,8.427087784,1.289978027,
177,Training,10.16737938,7.936600208,2.230779171,
178,Training,19.03929901,12.25818253,6.781116486,
179,Training,17.94492912,15.53731537,2.407613754,
180,Training,7.074111938,8.162949562,1.088837624,
181,Training,10.13690662,8.92749691,1.209409714,
182,Training,11.62456894,8.654932022,2.969636917,
183,Training,11.14625072,11.45179272,0.3055419922,
184,Training,8.137701035,8.392059326,0.2543582916,
185,Training,8.208282471,8.964395523,0.7561130524,
186,Training,8.044765472,7.347826004,0.6969394684,
187,Testing,7.277148724,7.120800495,0.1563482285,0
188,Testing,7.538575649,7.373977661,0.1645979881,0
189,Testing,9.780967712,8.672106743,1.10886097,1
190,Validation,10.28271961,9.945418358,0.3373012543,
191,Testing,7.983425617,7.657256126,0.3261694908,0
192,Training,7.807516098,8.624249458,0.8167333603,
193,Training,6.954890251,7.180055141,0.2251648903,
194,Training,8.212898254,7.312418938,0.9004793167,
195,Training,9.375564575,9.621014595,0.2454500198,
196,Training,7.728872776,8.542088509,0.8132157326,
197,Training,8.452411652,7.726305962,0.72610569,
198,Training,7.802009106,6.740225315,1.061783791,
199,Training,7.218836784,6.926621914,0.2922148705,
200,Validation,8.681107521,8.219309807,0.4617977142,
201,Validation,8.805811882,9.519547462,0.7137355804,
202,Training,7.448800087,6.864847183,0.5839529037,
203,Training,6.100338936,6.849434853,0.7490959167,
204,Training,7.373027325,7.961977959,0.588950634,
205,Testing,7.359692097,6.826337814,0.5333542824,0
206,Training,7.847120762,5.999909878,1.847210884,
207,Validation,10.79247761,9.74386692,1.048610687,
208,Training,9.339543343,7.673360825,1.666182518,
209,Training,8.83516407,8.881035805,0.04587173462,
210,Training,9.061162949,9.345780373,0.284617424,
211,Training,8.787117004,6.850680828,1.936436176,
212,Validation,7.540384293,6.899766922,0.6406173706,
213,Validation,12.14845753,8.377274513,3.771183014,
214,Testing,8.505945206,6.612527847,1.893417358,0
215,Validation,6.99354887,7.667876244,0.6743273735,
216,Validation,9.374360085,7.541930199,1.832429886,
217,Validation,8.112925529,7.310897827,0.8020277023,
218,Training,8.405627251,9.221512794,0.8158855438,
219,Training,11.38721085,9.634397507,1.752813339,
220,Training,11.9073391,9.183909416,2.72342968,
221,Training,8.957205772,8.928924561,0.02828121185,
222,Training,11.04576015,11.3224535,0.2766933441,
223,Training,8.721768379,8.458764076,0.263004303,
224,Training,7.154894829,5.537637711,1.617257118,
225,Training,10.41930962,8.426729202,1.992580414,
226,Validation,6.774909019,6.93757534,0.1626663208,
227,Training,6.387879848,6.593292236,0.2054123878,
228,Training,9.23352623,9.871468544,0.6379423141,
229,Training,8.378684998,9.187018394,0.8083333969,
230,Validation,9.495827675,10.65757465,1.161746979,
231,Training,12.21969986,11.21971798,0.9999818802,
232,Training,12.28567791,10.13282681,2.152851105,
233,Training,11.68102074,8.979750633,2.701270103,
234,Training,12.73554611,11.39267063,1.342875481,
235,Testing,7.504535675,8.895942688,1.391407013,0
236,Validation,7.601824284,6.338088989,1.263735294,
237,Training,9.819493294,8.507902145,1.311591148,
238,Training,6.21883297,5.724535942,0.4942970276,
239,Training,7.318478584,9.177983284,1.8595047,
240,Training,10.83018017,11.17455578,0.3443756104,
241,Testing,9.116949081,9.784317017,0.6673679352,0
242,Training,10.55588627,11.81728458,1.261398315,
243,Testing,13.62969303,11.21816254,2.411530495,2
244,Training,11.30872917,10.81410885,0.4946203232,
245,Training,11.86725807,10.22439766,1.642860413,
246,Training,13.24765873,12.57370281,0.6739559174,
247,Training,8.257098198,10.02733707,1.770238876,
248,Training,7.859602928,7.112388611,0.7472143173,
249,Training,12.82196236,10.21747589,2.604486465,
250,Training,7.097700119,5.894692898,1.203007221,
251,Validation,7.65310955,8.562526703,0.9094171524,
252,Testing,16.35027504,21.31053925,4.960264206,2
253,Training,19.80988312,18.00782585,1.802057266,
254,Validation,17.2809639,17.32291412,0.04195022583,
255,Training,16.60793114,12.21852875,4.38940239,
256,Validation,10.92144489,8.42261982,2.498825073,
257,Testing,9.958229065,8.968529701,0.9896993637,1
258,Training,8.09869957,7.031932354,1.066767216,
259,Validation,8.091761589,6.48481369,1.606947899,
260,Validation,9.687932968,7.629709244,2.058223724,
261,Training,11.20838165,8.759478569,2.448903084,
262,Training,16.64492226,10.91166306,5.733259201,
