Original_Index,Split,GroundTruth_CD,Predicted_CD,Error
0,Training,7.470066070556641,9.523639678955078,2.0535736083984375
1,Training,8.404847145080566,7.491509914398193,0.913337230682373
2,Training,7.3394341468811035,8.116902351379395,0.777468204498291
3,Testing,9.330779075622559,8.959553718566895,0.37122535705566406
4,Training,7.685888290405273,8.956720352172852,1.2708320617675781
5,Training,9.433958053588867,8.070691108703613,1.363266944885254
6,Testing,7.50915002822876,8.225068092346191,0.7159180641174316
7,Validation,8.4113130569458,8.173966407775879,0.23734664916992188
8,Training,8.886565208435059,8.836031913757324,0.050533294677734375
9,Training,9.954696655273438,8.044394493103027,1.9103021621704102
10,Validation,7.6611151695251465,7.706845283508301,0.0457301139831543
11,Training,9.767984390258789,8.829487800598145,0.9384965896606445
12,Testing,8.35305404663086,9.250304222106934,0.8972501754760742
13,Training,9.5430269241333,8.529006004333496,1.0140209197998047
14,Training,7.536942958831787,7.425950527191162,0.110992431640625
15,Training,9.572122573852539,8.99461841583252,0.5775041580200195
