Original_Index,Filename,Split,GroundTruth_CD,Predicted_CD,Error
0,TH0011AV/viewpoint_simulated_0_surface0.pcd,Testing,1.9355298280715942,2.034679651260376,0.09914982318878174
1,TH0011AV/viewpoint_simulated_1_surface0.pcd,Testing,1.9770139455795288,2.0067784786224365,0.029764533042907715
2,TH0011AV/viewpoint_simulated_10_surface0.pcd,Testing,1.9674052000045776,2.0904428958892822,0.12303769588470459
3,TH0011AV/viewpoint_simulated_100_surface0.pcd,Testing,1.8672890663146973,2.09045147895813,0.22316241264343262
4,TH0011AV/viewpoint_simulated_101_surface0.pcd,Testing,2.117499351501465,2.120252847671509,0.0027534961700439453
5,TH0011AV/viewpoint_simulated_102_surface0.pcd,Testing,1.8861879110336304,2.1722631454467773,0.286075234413147
6,TH0011AV/viewpoint_simulated_103_surface0.pcd,Testing,2.034348726272583,2.1698546409606934,0.13550591468811035
7,TH0011AV/viewpoint_simulated_104_surface0.pcd,Testing,1.9759246110916138,2.1461570262908936,0.17023241519927979
8,TH0011AV/viewpoint_simulated_105_surface0.pcd,Testing,2.0318539142608643,2.1327672004699707,0.10091328620910645
9,TH0011AV/viewpoint_simulated_106_surface0.pcd,Testing,1.931296706199646,2.0704433917999268,0.13914668560028076
10,TH0011AV/viewpoint_simulated_107_surface0.pcd,Testing,2.0434515476226807,2.0602705478668213,0.016819000244140625
11,TH0011AV/viewpoint_simulated_108_surface0.pcd,Testing,1.9618196487426758,2.0311193466186523,0.06929969787597656
12,TH0011AV/viewpoint_simulated_109_surface0.pcd,Testing,2.0251455307006836,2.0199668407440186,0.005178689956665039
13,TH0011AV/viewpoint_simulated_11_surface0.pcd,Testing,1.875463604927063,2.0659902095794678,0.19052660465240479
14,TH0011AV/viewpoint_simulated_110_surface0.pcd,Testing,2.001664400100708,2.0277061462402344,0.026041746139526367
15,TH0011AV/viewpoint_simulated_111_surface0.pcd,Testing,1.8420504331588745,2.1084697246551514,0.26641929149627686
16,TH0011AV/viewpoint_simulated_112_surface0.pcd,Testing,2.0406370162963867,2.1152894496917725,0.07465243339538574
17,TH0011AV/viewpoint_simulated_113_surface0.pcd,Testing,1.9109210968017578,2.1768555641174316,0.26593446731567383
18,TH0011AV/viewpoint_simulated_114_surface0.pcd,Testing,2.0433013439178467,2.2220609188079834,0.17875957489013672
19,TH0011AV/viewpoint_simulated_115_surface0.pcd,Testing,1.8807566165924072,2.1740241050720215,0.29326748847961426
20,TH0011AV/viewpoint_simulated_116_surface0.pcd,Testing,1.8776887655258179,2.1967575550079346,0.3190687894821167
21,TH0011AV/viewpoint_simulated_117_surface0.pcd,Testing,2.0316989421844482,2.156039237976074,0.12434029579162598
22,TH0011AV/viewpoint_simulated_118_surface0.pcd,Testing,2.084805965423584,2.084169626235962,0.0006363391876220703
23,TH0011AV/viewpoint_simulated_119_surface0.pcd,Testing,1.947702407836914,2.0721569061279297,0.12445449829101562
24,TH0011AV/viewpoint_simulated_12_surface0.pcd,Testing,2.0848960876464844,2.047558546066284,0.037337541580200195
25,TH0011AV/viewpoint_simulated_120_surface0.pcd,Testing,2.050997734069824,2.0312159061431885,0.019781827926635742
26,TH0011AV/viewpoint_simulated_121_surface0.pcd,Testing,2.108799457550049,2.0323140621185303,0.07648539543151855
27,TH0011AV/viewpoint_simulated_122_surface0.pcd,Testing,2.0006039142608643,2.0130670070648193,0.012463092803955078
28,TH0011AV/viewpoint_simulated_123_surface0.pcd,Testing,1.9685859680175781,2.1136443614959717,0.14505839347839355
29,TH0011AV/viewpoint_simulated_124_surface0.pcd,Testing,2.0277163982391357,2.123281717300415,0.0955653190612793
30,TH0011AV/viewpoint_simulated_125_surface0.pcd,Testing,2.0990817546844482,2.1979000568389893,0.09881830215454102
31,TH0011AV/viewpoint_simulated_126_surface0.pcd,Testing,1.9572714567184448,2.2037479877471924,0.24647653102874756
32,TH0011AV/viewpoint_simulated_127_surface0.pcd,Testing,2.074323892593384,2.1857450008392334,0.11142110824584961
33,TH0011AV/viewpoint_simulated_128_surface0.pcd,Testing,1.935192584991455,2.240264654159546,0.3050720691680908
