Original_Index,Filename,Split,GroundTruth_CD,Predicted_CD,Error
0,TH0011AV/viewpoint_simulated_0_surface0.pcd,Testing,1.9767990112304688,2.2728354930877686,0.2960364818572998
1,TH0011AV/viewpoint_simulated_1_surface0.pcd,Testing,2.10595703125,2.251283645629883,0.1453266143798828
2,TH0011AV/viewpoint_simulated_10_surface0.pcd,Testing,1.8492149114608765,2.3806397914886475,0.531424880027771
3,TH0011AV/viewpoint_simulated_100_surface0.pcd,Testing,1.9849722385406494,2.2701592445373535,0.2851870059967041
4,TH0011AV/viewpoint_simulated_101_surface0.pcd,Testing,2.0539610385894775,2.2427806854248047,0.18881964683532715
5,TH0011AV/viewpoint_simulated_102_surface0.pcd,Testing,2.011335611343384,2.1948280334472656,0.18349242210388184
6,TH0011AV/viewpoint_simulated_103_surface0.pcd,Testing,2.143333673477173,2.1692399978637695,0.02590632438659668
7,TH0011AV/viewpoint_simulated_104_surface0.pcd,Testing,2.1514968872070312,2.16837215423584,0.016875267028808594
8,TH0011AV/viewpoint_simulated_105_surface0.pcd,Testing,2.1020257472991943,2.190316677093506,0.08829092979431152
9,TH0011AV/viewpoint_simulated_106_surface0.pcd,Testing,2.0540645122528076,2.1932358741760254,0.13917136192321777
10,TH0011AV/viewpoint_simulated_107_surface0.pcd,Testing,2.055321216583252,2.2267038822174072,0.17138266563415527
11,TH0011AV/viewpoint_simulated_108_surface0.pcd,Testing,2.1685357093811035,2.2934346199035645,0.12489891052246094
12,TH0011AV/viewpoint_simulated_109_surface0.pcd,Testing,2.081996440887451,2.239628553390503,0.15763211250305176
13,TH0011AV/viewpoint_simulated_11_surface0.pcd,Testing,2.006232738494873,2.361501932144165,0.355269193649292
14,TH0011AV/viewpoint_simulated_110_surface0.pcd,Testing,2.0952565670013428,2.230126142501831,0.13486957550048828
15,TH0011AV/viewpoint_simulated_111_surface0.pcd,Testing,2.135233163833618,2.236583709716797,0.10135054588317871
16,TH0011AV/viewpoint_simulated_112_surface0.pcd,Testing,2.09890079498291,2.2099082469940186,0.1110074520111084
17,TH0011AV/viewpoint_simulated_113_surface0.pcd,Testing,2.1980459690093994,2.244338035583496,0.04629206657409668
18,TH0011AV/viewpoint_simulated_114_surface0.pcd,Testing,1.9530551433563232,2.261725902557373,0.3086707592010498
19,TH0011AV/viewpoint_simulated_115_surface0.pcd,Testing,2.154512405395508,2.2742624282836914,0.1197500228881836
20,TH0011AV/viewpoint_simulated_116_surface0.pcd,Testing,2.1476891040802,2.278118133544922,0.13042902946472168
21,TH0011AV/viewpoint_simulated_117_surface0.pcd,Testing,2.143444776535034,2.2766470909118652,0.13320231437683105
22,TH0011AV/viewpoint_simulated_118_surface0.pcd,Testing,2.112204074859619,2.212021589279175,0.09981751441955566
23,TH0011AV/viewpoint_simulated_119_surface0.pcd,Testing,2.1784417629241943,2.16530704498291,0.01313471794128418
24,TH0011AV/viewpoint_simulated_12_surface0.pcd,Testing,2.057272434234619,2.3655905723571777,0.3083181381225586
25,TH0011AV/viewpoint_simulated_120_surface0.pcd,Testing,2.018193006515503,2.1600608825683594,0.14186787605285645
26,TH0011AV/viewpoint_simulated_121_surface0.pcd,Testing,2.149773597717285,2.1941978931427,0.04442429542541504
27,TH0011AV/viewpoint_simulated_122_surface0.pcd,Testing,2.1597578525543213,2.196817398071289,0.03705954551696777
28,TH0011AV/viewpoint_simulated_123_surface0.pcd,Testing,2.1218814849853516,2.2589921951293945,0.13711071014404297
29,TH0011AV/viewpoint_simulated_124_surface0.pcd,Testing,2.0572569370269775,2.2983531951904297,0.24109625816345215
30,TH0011AV/viewpoint_simulated_125_surface0.pcd,Testing,2.128300666809082,2.2412991523742676,0.11299848556518555
31,TH0011AV/viewpoint_simulated_126_surface0.pcd,Testing,2.1206932067871094,2.2333850860595703,0.11269187927246094
32,TH0011AV/viewpoint_simulated_127_surface0.pcd,Testing,2.1023685932159424,2.231274127960205,0.1289055347442627
33,TH0011AV/viewpoint_simulated_128_surface0.pcd,Testing,2.2989635467529297,2.237365245819092,0.06159830093383789
34,TH0011AV/viewpoint_simulated_129_surface0.pcd,Testing,2.1260297298431396,2.264211893081665,0.1381821632385254
