Project Root: c:\Users\Alvan\Documents\Alvan\Data\Code\Python\Main\pointnet_pytorch_reflective
Using Device: cuda
Target Mean: 10.2212 | Target Std: 3.7354
Training on: 393 | Validation: 99
Epoch 1/1000 | Train Loss (MSE): 630.25 | Val Loss (MSE): 98.21
>>> New Best Model Saved: 98.2110
Epoch 2/1000 | Train Loss (MSE): 714.15 | Val Loss (MSE): 105.27
Epoch 3/1000 | Train Loss (MSE): 687.23 | Val Loss (MSE): 119.31
Epoch 4/1000 | Train Loss (MSE): 617.94 | Val Loss (MSE): 124.41
Epoch 5/1000 | Train Loss (MSE): 736.84 | Val Loss (MSE): 133.85
Epoch 6/1000 | Train Loss (MSE): 736.86 | Val Loss (MSE): 135.65
Epoch 7/1000 | Train Loss (MSE): 696.01 | Val Loss (MSE): 139.14
Epoch 8/1000 | Train Loss (MSE): 622.58 | Val Loss (MSE): 139.06
Epoch 9/1000 | Train Loss (MSE): 604.44 | Val Loss (MSE): 141.54
Epoch 10/1000 | Train Loss (MSE): 675.34 | Val Loss (MSE): 147.09
Epoch 11/1000 | Train Loss (MSE): 640.56 | Val Loss (MSE): 148.33
Epoch 12/1000 | Train Loss (MSE): 683.32 | Val Loss (MSE): 153.38
Epoch 13/1000 | Train Loss (MSE): 690.84 | Val Loss (MSE): 173.06
Epoch 14/1000 | Train Loss (MSE): 590.70 | Val Loss (MSE): 155.11
Epoch 15/1000 | Train Loss (MSE): 628.72 | Val Loss (MSE): 161.69
Epoch 16/1000 | Train Loss (MSE): 650.04 | Val Loss (MSE): 170.55
Epoch 17/1000 | Train Loss (MSE): 678.53 | Val Loss (MSE): 170.81
Epoch 18/1000 | Train Loss (MSE): 578.20 | Val Loss (MSE): 157.23
Epoch 19/1000 | Train Loss (MSE): 607.69 | Val Loss (MSE): 164.57
Epoch 20/1000 | Train Loss (MSE): 630.91 | Val Loss (MSE): 167.99
Epoch 21/1000 | Train Loss (MSE): 587.73 | Val Loss (MSE): 160.65
Epoch 22/1000 | Train Loss (MSE): 612.43 | Val Loss (MSE): 165.58
Epoch 23/1000 | Train Loss (MSE): 636.08 | Val Loss (MSE): 167.92
Epoch 24/1000 | Train Loss (MSE): 616.65 | Val Loss (MSE): 159.93
Epoch 25/1000 | Train Loss (MSE): 595.00 | Val Loss (MSE): 167.44
Epoch 26/1000 | Train Loss (MSE): 606.95 | Val Loss (MSE): 170.92
Epoch 27/1000 | Train Loss (MSE): 625.31 | Val Loss (MSE): 169.63
Epoch 28/1000 | Train Loss (MSE): 591.17 | Val Loss (MSE): 172.50
Epoch 29/1000 | Train Loss (MSE): 587.25 | Val Loss (MSE): 167.71
Epoch 30/1000 | Train Loss (MSE): 511.47 | Val Loss (MSE): 165.92
Epoch 31/1000 | Train Loss (MSE): 556.31 | Val Loss (MSE): 166.82
Epoch 32/1000 | Train Loss (MSE): 564.26 | Val Loss (MSE): 169.77
Epoch 33/1000 | Train Loss (MSE): 582.91 | Val Loss (MSE): 175.34
Epoch 34/1000 | Train Loss (MSE): 552.69 | Val Loss (MSE): 167.25
Epoch 35/1000 | Train Loss (MSE): 570.31 | Val Loss (MSE): 164.82
Epoch 36/1000 | Train Loss (MSE): 526.33 | Val Loss (MSE): 163.68
Epoch 37/1000 | Train Loss (MSE): 520.79 | Val Loss (MSE): 181.62
Epoch 38/1000 | Train Loss (MSE): 554.52 | Val Loss (MSE): 159.77
Epoch 39/1000 | Train Loss (MSE): 550.42 | Val Loss (MSE): 174.90
Epoch 40/1000 | Train Loss (MSE): 588.25 | Val Loss (MSE): 162.43
Epoch 41/1000 | Train Loss (MSE): 510.08 | Val Loss (MSE): 164.22
Epoch 42/1000 | Train Loss (MSE): 547.26 | Val Loss (MSE): 157.11
Epoch 43/1000 | Train Loss (MSE): 552.56 | Val Loss (MSE): 165.70
Epoch 44/1000 | Train Loss (MSE): 543.26 | Val Loss (MSE): 169.88
Epoch 45/1000 | Train Loss (MSE): 537.82 | Val Loss (MSE): 158.07
Epoch 46/1000 | Train Loss (MSE): 558.97 | Val Loss (MSE): 160.91
Epoch 47/1000 | Train Loss (MSE): 544.65 | Val Loss (MSE): 162.27
Epoch 48/1000 | Train Loss (MSE): 506.24 | Val Loss (MSE): 157.04
Epoch 49/1000 | Train Loss (MSE): 562.07 | Val Loss (MSE): 164.01
Epoch 50/1000 | Train Loss (MSE): 545.27 | Val Loss (MSE): 167.42
Epoch 51/1000 | Train Loss (MSE): 555.90 | Val Loss (MSE): 174.52
Epoch 52/1000 | Train Loss (MSE): 565.23 | Val Loss (MSE): 167.16
Epoch 53/1000 | Train Loss (MSE): 542.68 | Val Loss (MSE): 164.37
Epoch 54/1000 | Train Loss (MSE): 498.94 | Val Loss (MSE): 155.14
Epoch 55/1000 | Train Loss (MSE): 525.63 | Val Loss (MSE): 157.89
Epoch 56/1000 | Train Loss (MSE): 501.36 | Val Loss (MSE): 165.96
Epoch 57/1000 | Train Loss (MSE): 569.96 | Val Loss (MSE): 159.16
Epoch 58/1000 | Train Loss (MSE): 528.06 | Val Loss (MSE): 155.10
Epoch 59/1000 | Train Loss (MSE): 527.45 | Val Loss (MSE): 163.49
Epoch 60/1000 | Train Loss (MSE): 564.70 | Val Loss (MSE): 157.57
Epoch 61/1000 | Train Loss (MSE): 609.44 | Val Loss (MSE): 181.68
Epoch 62/1000 | Train Loss (MSE): 517.08 | Val Loss (MSE): 171.01
Epoch 63/1000 | Train Loss (MSE): 547.85 | Val Loss (MSE): 168.12
Epoch 64/1000 | Train Loss (MSE): 518.71 | Val Loss (MSE): 152.77
Epoch 65/1000 | Train Loss (MSE): 540.77 | Val Loss (MSE): 152.61
Epoch 66/1000 | Train Loss (MSE): 506.42 | Val Loss (MSE): 144.69
Epoch 67/1000 | Train Loss (MSE): 528.09 | Val Loss (MSE): 163.40
Epoch 68/1000 | Train Loss (MSE): 515.30 | Val Loss (MSE): 155.56
Epoch 69/1000 | Train Loss (MSE): 492.83 | Val Loss (MSE): 151.69
Epoch 70/1000 | Train Loss (MSE): 513.10 | Val Loss (MSE): 150.71
Epoch 71/1000 | Train Loss (MSE): 512.94 | Val Loss (MSE): 151.08
Epoch 72/1000 | Train Loss (MSE): 506.74 | Val Loss (MSE): 147.22
Epoch 73/1000 | Train Loss (MSE): 466.01 | Val Loss (MSE): 164.48
