No,dist,elevation,azimuth,dist_s2r,dist_r2s,Split,GroundTruth,Predicted,Error(mm)
0,400,5,0,19.33752034,5.112271727,Training,24.45,12.51,11.94
1,400,5,30,17.9026984,4.009478849,Validation,21.91,34.46,12.55
2,400,5,60,11.14876565,5.034007703,Training,16.18,11.95,4.23
3,400,5,90,16.02623682,3.932077483,Training,19.96,12.20,7.75
4,400,5,120,5.564161076,3.908598706,Training,9.47,6.62,2.85
5,400,5,150,4.449840528,3.502058396,Training,7.95,6.78,1.17
6,400,5,180,3.933170534,2.983287974,Training,6.92,6.12,0.80
7,400,5,210,3.798384471,2.800410211,Training,6.60,5.55,1.05
8,400,5,240,3.465940809,3.390995675,Training,6.86,4.82,2.04
9,400,5,270,4.623358745,3.388052285,Training,8.01,5.04,2.98
10,400,5,300,8.064128318,4.882034322,Training,12.95,8.89,4.06
11,400,5,330,4.916841964,2.817735146,Training,7.73,7.92,0.18
12,400,10,0,4.645300925,3.39393726,Training,8.04,8.55,0.51
85,420,5,30,38.58756193,8.286560714,Training,46.87,31.88,14.99
14,400,10,60,3.812840058,2.773719489,Training,6.59,6.83,0.24
15,400,10,90,4.507741705,2.605172173,Training,7.11,8.16,1.04
16,400,10,120,5.230769174,3.533758803,Training,8.76,8.40,0.36
17,400,10,150,4.904673518,3.79718438,Training,8.70,10.89,2.18
18,400,10,180,3.714526904,2.912548926,Training,6.63,7.01,0.38
19,400,10,210,3.782384679,3.088614936,Training,6.87,6.75,0.12
20,400,10,240,3.741283956,2.828139379,Validation,6.57,10.85,4.28
21,400,10,270,13.23144147,4.4943133,Validation,17.73,5.04,12.69
22,400,10,300,4.514958077,2.945184352,Training,7.46,7.10,0.36
23,400,10,330,6.231950412,3.619892055,Training,9.85,7.58,2.27
24,400,15,0,6.89164647,2.436884608,Training,9.33,8.33,0.99
169,440,5,30,6.785581276,4.152800782,Validation,10.94,8.86,2.08
26,400,15,60,4.792850337,3.47378751,Training,8.27,7.40,0.86
27,400,15,90,4.75712521,3.105401342,Training,7.86,7.66,0.20
28,400,15,120,3.400394313,2.859456178,Training,6.26,8.34,2.08
29,400,15,150,4.833737112,3.332072889,Training,8.17,10.51,2.35
30,400,15,180,4.200264987,3.185936275,Training,7.39,7.00,0.39
31,400,15,210,3.320381598,2.700048705,Training,6.02,5.79,0.23
32,400,15,240,4.081959609,2.787674297,Training,6.87,5.58,1.29
33,400,15,270,3.642530887,3.3540492,Training,7.00,4.87,2.13
34,400,15,300,5.100474599,2.613751401,Validation,7.71,7.33,0.38
35,400,15,330,4.898596893,2.951747786,Training,7.85,7.88,0.03
36,400,20,0,5.210677088,3.771854646,Training,8.98,7.96,1.03
253,460,5,30,4.373103768,3.05994412,Training,7.43,8.95,1.52
38,400,20,60,5.764660602,3.191077225,Training,8.96,7.90,1.05
39,400,20,90,5.932071408,4.332809543,Training,10.26,7.99,2.28
40,400,20,120,4.257498921,2.972423702,Training,7.23,5.90,1.33
41,400,20,150,4.666260903,3.362748301,Training,8.03,9.43,1.40
42,400,20,180,6.107492335,3.263739639,Training,9.37,6.56,2.81
43,400,20,210,6.632676535,3.090900589,Validation,9.72,6.43,3.29
44,400,20,240,4.668888001,2.60413184,Training,7.27,6.40,0.87
45,400,20,270,3.169483777,2.375369432,Training,5.54,5.07,0.48
46,400,20,300,4.247788044,3.588390853,Training,7.84,7.63,0.20
47,400,20,330,6.611466129,2.516116185,Training,9.13,8.02,1.10
48,400,25,0,5.460117575,3.012516815,Validation,8.47,8.02,0.45
337,480,5,30,4.995204066,3.64497692,Training,8.64,7.58,1.06
50,400,25,60,8.604419997,2.957915044,Validation,11.56,7.57,3.99
51,400,25,90,5.659212946,3.468588609,Training,9.13,7.66,1.47
52,400,25,120,7.065962859,4.837060593,Validation,11.90,5.38,6.53
53,400,25,150,4.405499725,3.498149225,Validation,7.90,5.32,2.59
54,400,25,180,4.976743291,3.100253785,Validation,8.08,6.35,1.73
55,400,25,210,3.709465363,2.616699118,Training,6.33,5.66,0.67
56,400,25,240,6.971939057,3.366569794,Training,10.34,7.42,2.92
57,400,25,270,3.653549902,2.588186972,Training,6.24,4.63,1.61
58,400,25,300,3.354715237,2.775699403,Validation,6.13,8.02,1.89
59,400,25,330,5.3313069,4.351570524,Training,9.68,8.48,1.20
60,400,30,0,4.941151763,3.067289298,Training,8.01,8.41,0.40
421,500,5,30,5.414101579,3.710617662,Training,9.12,7.69,1.43
62,400,30,60,5.447658682,3.828507045,Training,9.28,7.70,1.58
63,400,30,90,6.819886458,4.140442087,Training,10.96,7.32,3.64
64,400,30,120,6.669127799,4.29018006,Training,10.96,10.46,0.50
65,400,30,150,7.764127748,3.485849209,Training,11.25,9.39,1.86
66,400,30,180,7.108418111,4.292371194,Training,11.40,6.91,4.49
67,400,30,210,6.416660711,3.239842738,Training,9.66,9.87,0.22
68,400,30,240,3.710315351,2.641103262,Training,6.35,6.15,0.20
69,400,30,270,7.959918484,3.642479178,Training,11.60,5.89,5.71
70,400,30,300,3.30758243,2.430749142,Training,5.74,7.67,1.94
71,400,30,330,3.524427743,2.99008833,Validation,6.51,8.61,2.10
72,400,35,0,5.670044885,3.828419362,Training,9.50,8.61,0.89
13,400,10,30,4.511362891,3.243947302,Validation,7.76,12.88,5.12
74,400,35,60,11.44800019,3.776706758,Training,15.22,8.84,6.38
75,400,35,90,5.872925974,4.480481318,Training,10.35,7.14,3.21
76,400,35,120,4.271726703,2.903976996,Training,7.18,10.32,3.15
77,400,35,150,10.40692513,4.289794346,Training,14.70,10.14,4.56
78,400,35,180,7.239413225,4.369799923,Training,11.61,5.90,5.71
79,400,35,210,7.539764948,4.045423426,Training,11.59,6.65,4.94
80,400,35,240,4.538594197,3.192310541,Validation,7.73,6.91,0.82
81,400,35,270,4.537835302,2.845464456,Training,7.38,5.45,1.93
82,400,35,300,9.833430774,3.99525425,Training,13.83,8.45,5.38
83,400,35,330,3.164161795,2.393798113,Training,5.56,7.76,2.20
84,420,5,0,4.40157563,3.261280227,Training,7.66,10.41,2.75
97,420,10,30,13.4506837,3.982399382,Training,17.43,12.97,4.47
86,420,5,60,17.09436958,4.501554487,Training,21.60,11.95,9.65
87,420,5,90,4.78766946,2.957826782,Validation,7.75,9.36,1.62
88,420,5,120,9.322732586,4.338321862,Validation,13.66,6.38,7.28
89,420,5,150,8.361104908,4.172892687,Training,12.53,6.77,5.76
90,420,5,180,6.603890628,5.259823851,Training,11.86,6.26,5.60
91,420,5,210,5.274592718,4.296768645,Validation,9.57,5.97,3.60
92,420,5,240,3.657196026,3.139097009,Training,6.80,4.69,2.11
93,420,5,270,4.081628577,3.077796957,Training,7.16,4.11,3.05
94,420,5,300,4.514276975,3.884616445,Training,8.40,8.69,0.29
95,420,5,330,5.065055437,4.067876829,Training,9.13,7.93,1.21
96,420,10,0,11.25713846,5.795579329,Training,17.05,9.08,7.97
181,440,10,30,10.76066653,4.714134936,Training,15.47,8.75,6.72
98,420,10,60,4.9014268,3.120340258,Training,8.02,6.81,1.21
99,420,10,90,3.641453716,3.071038576,Validation,6.71,8.31,1.60
100,420,10,120,6.262541994,3.380355715,Training,9.64,8.44,1.20
101,420,10,150,7.700170512,3.342115367,Training,11.04,10.90,0.15
102,420,10,180,6.025971983,4.116964127,Validation,10.14,7.37,2.78
103,420,10,210,4.516591786,3.101506851,Training,7.62,6.73,0.89
104,420,10,240,4.292165548,3.354640414,Training,7.65,10.75,3.10
105,420,10,270,4.021490125,3.396209317,Validation,7.42,5.51,1.90
106,420,10,300,3.680286849,3.094284187,Validation,6.77,7.09,0.31
107,420,10,330,4.011255586,2.864229057,Training,6.88,7.60,0.72
108,420,15,0,5.104044362,3.667117156,Training,8.77,8.39,0.38
265,460,10,30,5.296941005,4.079524939,Training,9.38,8.58,0.80
110,420,15,60,5.78340264,4.0193294,Training,9.80,7.39,2.42
111,420,15,90,4.517260553,2.957958021,Training,7.48,7.80,0.32
112,420,15,120,4.12798169,3.345652808,Training,7.47,8.34,0.86
113,420,15,150,3.802169302,3.006555166,Training,6.81,10.53,3.72
114,420,15,180,4.613778698,3.119828672,Training,7.73,7.33,0.40
115,420,15,210,4.524681991,3.668886929,Training,8.19,5.81,2.38
116,420,15,240,4.118697646,3.271904181,Training,7.39,5.37,2.02
117,420,15,270,4.926524938,3.139586011,Training,8.07,5.16,2.90
118,420,15,300,3.98137966,3.231876361,Training,7.21,7.32,0.11
119,420,15,330,3.692835152,3.09273003,Training,6.79,7.88,1.09
120,420,20,0,3.23949623,2.581670062,Training,5.82,7.94,2.12
349,480,10,30,7.791897476,4.965436032,Training,12.76,8.66,4.10
122,420,20,60,4.366909255,3.330695951,Training,7.70,7.90,0.20
123,420,20,90,3.948585035,3.24049399,Training,7.19,7.84,0.65
124,420,20,120,3.254781053,2.500573221,Training,5.76,5.90,0.15
125,420,20,150,4.149443419,3.127574562,Training,7.28,9.58,2.30
126,420,20,180,4.245477577,2.892407845,Training,7.14,6.88,0.26
127,420,20,210,4.268334337,3.165429835,Training,7.43,6.44,0.99
128,420,20,240,5.712168983,4.210393839,Training,9.92,6.33,3.59
129,420,20,270,5.952132244,2.87362518,Training,8.83,5.43,3.40
130,420,20,300,5.101053746,3.464269496,Validation,8.57,7.60,0.96
131,420,20,330,4.31908737,3.239833884,Training,7.56,8.10,0.54
132,420,25,0,4.871564511,3.829365847,Training,8.70,8.09,0.61
433,500,10,30,8.239189424,4.424088904,Validation,12.66,8.65,4.01
134,420,25,60,4.098227946,2.939564545,Validation,7.04,7.49,0.45
135,420,25,90,7.233800525,3.726472544,Training,10.96,7.72,3.24
136,420,25,120,5.01329149,2.906974257,Training,7.92,5.52,2.40
137,420,25,150,3.733154912,2.961601709,Training,6.69,5.31,1.38
138,420,25,180,5.160429878,3.773435327,Training,8.93,6.08,2.86
139,420,25,210,4.580622064,3.244111541,Training,7.82,5.47,2.35
140,420,25,240,4.890912041,3.088574715,Training,7.98,7.41,0.57
141,420,25,270,6.008514828,4.532380082,Training,10.54,6.48,4.06
142,420,25,300,4.166214253,3.884892322,Training,8.05,8.06,0.01
143,420,25,330,8.328978788,3.23741061,Training,11.57,8.42,3.15
144,420,30,0,4.946213545,3.7217561,Training,8.67,8.22,0.45
25,400,15,30,4.990665282,2.983724478,Training,7.97,6.67,1.31
146,420,30,60,4.85993673,3.388921499,Training,8.25,7.25,1.00
147,420,30,90,3.968196472,2.710191154,Training,6.68,7.20,0.52
148,420,30,120,5.423823279,3.961564521,Training,9.39,10.45,1.06
149,420,30,150,3.604441869,2.788722016,Validation,6.39,9.43,3.03
